DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4661,8.5,11.8611,-0.0039,2.4237,76.06,62.3034,0.1379,2.0549,37.6297,26.2141,8.4757
4661.5,8.5,11.8836,-0.0052,2.4337,75.4215,59.7069,0.1422,2.0644,39.1413,27.4217,8.7067
4662,8.5,11.8611,-0.0054,2.4335,75.1481,58.94,0.1342,2.0718,45.5036,31.909,9.899
4662.5,8.5,11.8611,-0.0047,2.4346,75.4823,58.5925,0.1287,2.0735,40.1836,28.8981,11.5566
4663,8.5,11.8949,-0.0024,2.4426,75.2803,62.0977,0.1283,2.0558,36.3142,26.0007,10.7619
4663.5,8.5,11.8724,-0.0001,2.4481,75.9704,66.7714,0.1376,2.0383,38.7136,26.8809,9.0818
4664,8.5,11.8498,0.0007,2.4415,75.916,69.196,0.1487,2.0411,40.7254,27.8045,8.845
4664.5,8.5,11.816,0.0007,2.4301,74.8436,73.9849,0.1531,2.057,40.5421,27.1124,8.9024
4665,8.5,11.8047,0.0052,2.4408,73.7958,76.7112,0.1432,2.0885,44.7139,29.1904,9.8565
4665.5,8.5,11.7596,0.0113,2.4659,72.5274,83.462,0.1351,2.1205,57.7904,35.6751,10.3185
4666,8.5,11.7596,0.0146,2.4872,72.4737,85.5111,0.1366,2.1533,69.0311,39.378,13.1364
4666.5,8.5,11.7483,0.0125,2.4879,73.1469,80.5778,0.1535,2.1648,58.9113,30.1721,14.3462
4667,8.5,11.7107,0.0084,2.474,73.681,69.6726,0.1648,2.1319,46.8881,23.1797,13.5403
4667.5,8.5,11.7371,0.0059,2.4589,74.4089,63.7434,0.1548,2.0704,46.442,22.5546,12.3392
4668,8.5,11.6957,0.003,2.4362,73.9525,58.2688,0.1439,2.0104,50.2147,24.0977,10.4938
4668.5,8.5,11.6807,0.0005,2.4219,74.6878,55.5425,0.1354,1.9757,52.8591,25.0934,9.4501
4669,8.5,11.6656,-0.0014,2.4059,75.3404,52.5458,0.1371,1.9723,54.9436,25.5503,8.7901
4669.5,8.5,11.6356,-0.0032,2.3927,75.6032,53.217,0.1416,1.9849,54.3675,24.6805,8.4575
4670,8.5,11.613,-0.004,2.3855,75.6683,58.0205,0.1454,2.0046,47.7485,21.4898,8.104
4670.5,8.5,11.5679,-0.0035,2.3873,75.037,66.5996,0.1456,2.0276,49.7755,21.5868,7.2386
4671,8.5,11.5228,-0.0019,2.4041,74.838,82.3083,0.1435,2.0427,58.9788,24.5238,7.4917
4671.5,8.5,11.4777,-0.0005,2.4187,74.388,94.3819,0.1384,2.0612,57.6175,23.6986,7.9919
