Northing,Easthing,Elevation
3636218,397772,1027
3625868,378772,1180
3664218,388022,0
3664218,381872,1226
3646268,413172,991
3629918,399272,1111
3643918,417572,1023
3635168,386872,1147
3624568,371422,1181
3638268,375272,1064
3657018,411772,895
3628818,389772,1240
3638118,372422,1112
3622318,390422,1253
3636918,376522,1039
3635268,397022,1031
3654168,416722,935
3634868,391172,1068
3621268,395322,1287
3646618,388272,1043
3649268,380022,1166
3622668,371722,1230
3637168,370722,1079
3661668,365972,1583
3642718,375822,1110
3640518,375622,1075
3643618,369322,1215
3628618,380772,1114
3624368,391422,1201
3636618,366372,1124
3644118,394772,926
3621868,391372,1262
3663018,410322,895
3648168,398272,936
3636818,397572,1023
3619868,382122,1286
3656218,392472,1112
3640118,375472,1077
3626718,413422,1214
3639968,417372,1054
3636118,365672,1115
3650118,364272,1529
3653218,399422,942
3654068,387872,1133
3625568,380072,1197
3630368,369922,1085
3625218,367472,1189
3643668,363272,1620
3663868,391672,1108
3665618,364472,1514
3657668,415772,901
3656568,387222,1090
3623868,370022,1201
3630418,397672,1102
3624068,369872,1206
3620068,394422,1310
3630518,366522,1113
3642568,413122,1045
3655518,381422,1207
3656268,405572,889
3644018,392972,947
3627568,371372,1132
3635518,377872,1002
3639968,402072,990
3636168,410472,1094
3630368,415922,1181
3631918,408022,1123
3666018,364172,1
3643468,374972,1114
3625518,390772,1220
3642768,402422,979
3635018,386522,1137
3621718,406422,1277
3660968,382272,1187
3638918,382922,993
3665068,406422,946
3660868,378422,1330
3631918,401322,1118
3636768,396072,1036
3622268,411922,1313
3653618,403972,888
3630968,406172,1142
3640468,388722,1100
3623168,363122,1252
3628968,379572,1120
3663268,406572,923
3656768,407522,884
3647468,387772,1053
3641518,369572,1199
3637868,386172,1110
3653868,400372,922
3655318,372122,1756
3649768,399122,941
3648968,394172,978
3635268,386922,1151
3637918,382172,984
3620318,383122,1268
3626868,386772,1257
3652018,362572,1593
3619668,413172,1361
3630968,383222,1081
3640318,371222,1139
3664668,392722,1146
3661168,384272,1178
3659218,415922,888
3641418,407422,1028
3658918,414922,887
