,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
1019,5109.5,0,0.14146357142857147,0.09337289495670988,0.6873109130052578,1,1,1
1020,5110.0,0,0.1468728571428571,0.08786207069264065,0.7369950925991121,1,1,1
1021,5110.5,0,0.16147999999999998,0.08845171030303034,0.6415831462272912,0,0,0
1022,5111.0,0,0.20050071428571425,0.08566663426406927,0.6731569948638665,0,0,0
1023,5111.5,0,0.2133107142857143,0.09125973820346323,0.7133150451251836,0,0,0
1024,5112.0,0,0.22819857142857145,0.08749453753246754,0.6621407726100725,0,0,0
1025,5112.5,0,0.22955214285714287,0.08390002854978347,0.6821427725259026,0,0,0
1026,5113.0,0,0.23092142857142858,0.07937198852813852,0.7697908146419109,0,0,0
1027,5113.5,0,0.20594642857142859,0.084139718073593,0.7967089810073739,0,0,0
1028,5114.0,0,0.16911857142857142,0.08864183329004328,0.7737486124800926,0,0,0
1029,5114.5,0,0.14005142857142858,0.09310257610389604,0.7197092327058918,1,1,1
1030,5115.0,0,0.125325,0.09463502954545452,0.705825750827221,1,1,1
1031,5115.5,0,0.10191928571428571,0.09855594937229435,0.6642452883010589,1,1,1
1032,5116.0,0,0.0841957142857143,0.09939842471861464,0.5845143653645616,1,1,1
1033,5116.5,0,0.07214357142857143,0.09689544162337656,0.5942710492578344,1,1,1
1034,5117.0,0,0.10827214285714284,0.08790288188311683,0.6811887262383126,1,1,1
1035,5117.5,0,0.149985,0.07973496833333325,0.7734897773280426,1,0,0
1036,5118.0,0,0.18547785714285717,0.07741473175324676,0.8109879596563221,0,0,0
1037,5118.5,0,0.18689571428571428,0.08214806411255407,0.8301898304089186,0,0,0
1038,5119.0,0,0.18463571428571426,0.08720349502164494,0.8677435380421722,0,0,0
1039,5119.5,0,0.17608357142857142,0.08839325435064929,0.8555662385631257,0,0,0
1040,5120.0,0,0.145105,0.09100779742424236,0.8136549237686075,1,1,1
1041,5120.5,0,0.11770428571428572,0.08938841467532463,0.8236711592859389,1,1,1
1042,5121.0,0,0.10568785714285714,0.08609972054112545,0.7977566065039203,1,1,1
1043,5121.5,0,0.11114428571428572,0.0824443637662337,0.7795782614879957,1,1,1
1044,5122.0,0,0.10614928571428572,0.07884790967532458,0.7885318059090838,1,0,0
1045,5122.5,0,0.09477000000000001,0.0750579487878788,0.8008470907489413,1,0,0
1046,5123.0,0,0.09051642857142857,0.06961855777056272,0.8722977641006582,1,0,0
